,Open
0,0.04957894736842111
1,0.04989473684210527
2,0.043578947368421106
3,0.036526315789473685
4,0.041368421052631554
5,0.04473684210526313
6,0.03926315789473683
7,0.03547368421052627
8,0.04431578947368425
9,0.03705263157894739
10,0.029578947368420982
11,0.028736842105263116
12,0.03336842105263166
13,0.029789473684210532
14,0.014736842105263215
15,0.01315789473684209
16,0.004736842105263095
17,0.008842105263157929
18,0.013999999999999957
19,0.001052631578947416
20,0.00368421052631579
21,0.01821052631578951
22,0.023894736842105246
23,0.017473684210526252
24,0.009052631578947368
25,0.0
26,0.011578947368421078
27,0.011578947368421078
28,0.013052631578947371
29,0.01873684210526322
30,0.02831578947368424
31,0.0306315789473684
32,0.043684210526315825
33,0.04936842105263156
34,0.04989473684210527
35,0.05768421052631573
36,0.053157894736842126
37,0.05042105263157898
38,0.05010526315789471
39,0.05673684210526314
40,0.07610526315789473
41,0.0818947368421053
42,0.08157894736842103
43,0.07905263157894732
44,0.08136842105263159
45,0.0904210526315789
46,0.08252631578947361
47,0.08147368421052631
48,0.0869473684210526
49,0.08421052631578946
50,0.0809473684210526
51,0.0789473684210526
52,0.08252631578947361
53,0.08084210526315788
54,0.080421052631579
55,0.0714736842105263
56,0.0774736842105263
57,0.07642105263157889
58,0.07326315789473686
59,0.07715789473684215
60,0.0789473684210526
61,0.08000000000000002
62,0.07821052631578945
63,0.08810526315789474
64,0.09031578947368418
65,0.0904210526315789
66,0.08578947368421058
67,0.08105263157894732
68,0.08926315789473688
69,0.08231578947368429
70,0.08515789473684204
71,0.0809473684210526
72,0.08031578947368417
73,0.06621052631578944
74,0.06863157894736843
75,0.07726315789473687
76,0.07800000000000001
77,0.07884210526315788
78,0.08810526315789474
79,0.09010526315789474
80,0.06810526315789472
81,0.06378947368421045
82,0.07873684210526316
83,0.07400000000000001
84,0.07884210526315788
85,0.05631578947368426
86,0.045999999999999985
87,0.038631578947368406
88,0.048526315789473695
89,0.06389473684210528
90,0.05431578947368415
91,0.07021052631578956
92,0.06505263157894742
93,0.04263157894736841
94,0.05168421052631572
95,0.045684210526315716
